"AppID","Name","Release.date","Price","Supported.languages","Full.audio.languages","Windows","Mac","Linux","Metacritic.score","User.score","Positive","Negative","Average.playtime.forever","Developers","Publishers","Categories"
"Demolish & Build 3","Sep 11, 2024",NA,20,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Simplified Chinese']","['English', 'Simplified Chinese']","True","False","False",0,0,60,42,0,"Demolish Games S.A.","Demolish Games S.A.","Single-player,Partial Controller Support,Family Sharing"
"Doggy Farmer","Sep 10, 2024",NA,15,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Portuguese - Portugal', 'Korean', 'Indonesian']","[]","True","False","False",0,0,1,0,0,"grainraingames","grainrainstudio","Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Remote Play Together,Family Sharing"
"Intense! Miyu-chan and Teacher's Rock-Paper-Scissors battle!","Sep 13, 2024",NA,10,"['Japanese', 'English', 'Simplified Chinese', 'Traditional Chinese']","[]","True","False","False",0,0,13,1,0,"ぽんこん堂","072 Project","Single-player,Steam Cloud,Family Sharing"
"The Cesspit","Sep 13, 2024",NA,10,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Japanese', 'Simplified Chinese', 'Portuguese - Brazil', 'Korean']","[]","True","False","False",0,0,2,3,0,"BlueTale","BlueTale","Single-player,Steam Achievements,Steam Cloud,Family Sharing"
"PICO PARK 2","Sep 12, 2024",NA,10,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Japanese']","[]","True","True","False",0,0,169,17,91,"TECOPARK,Gemdrops, Inc.","TECOPARK","Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play Together,Family Sharing"
"Seeking Cat","Sep 20, 2024",NA,10,"['English']","['English']","True","False","False",0,0,10,1,0,"HomeMadeStudio","HomeMadeStudio","Single-player,Steam Achievements,Steam Cloud,Family Sharing"
"Cursed Fables: Before the Clock Strikes Collector's Edition","Sep 23, 2024",NA,10,"['English', 'French', 'German']","['English', 'German']","True","True","False",0,0,0,0,0,"Elephant AR","Big Fish Games","Single-player,Family Sharing"
"Summoner's Sky","Sep 27, 2024",NA,20,"['English', 'Japanese', 'Simplified Chinese']","['English', 'Simplified Chinese']","True","False","False",0,0,0,0,0,"Super Bytes","Super Bytes","Single-player,Steam Achievements,Full controller support,Family Sharing"
"Wizard's Legacy","Aug 8, 2024",NA,44,"['English']","['English']","True","False","False",0,0,1,2,0,"Wide Game Studio","Wide Game Studio","Single-player,Tracked Controller Support,VR Only,Family Sharing"
"多元守卫者 Diverse Defenders","Sep 18, 2024",NA,20,"['Simplified Chinese']","['Simplified Chinese']","True","False","False",0,0,20,0,0,"寂静四周","寂静四周","Single-player,Family Sharing"
"Gunfire Girl: Zombie Hunt","Sep 25, 2024",NA,40,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean']","[]","True","False","False",0,0,0,1,0,"Dinosaur workshop","Dinosaur workshop","Single-player,VR Only,Family Sharing"
"Byte The Bullet","Sep 19, 2024",NA,10,"['English']","[]","True","False","False",0,0,14,0,0,"Esteban Marin","JanduSoft","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing"
"Glum Buster","Sep 15, 2024",NA,40,"['English']","[]","True","False","False",0,0,0,0,0,"Justin D Leingang","El Jay Play","Single-player,Family Sharing"
"Elrentaros Wanderings","Aug 22, 2024",NA,10,"['English', 'Simplified Chinese', 'Japanese']","[]","True","False","False",0,0,2,9,0,"HAKAMA Inc.","Bushiroad Inc.","Single-player,Full controller support,Family Sharing"
"Murder On Space Station 52","Sep 25, 2024",NA,15,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']","['English', 'Spanish - Spain']","True","True","True",0,0,6,0,0,"Made From Strings","Dionous Games","Single-player,Steam Achievements,Captions available,Steam Cloud,Family Sharing"
"Ahro","Sep 27, 2024",NA,10,"['English', 'Japanese', 'French']","[]","True","True","False",0,0,1,0,0,"Oeh Interactive","Oeh Interactive,Nakana.io","Single-player,Full controller support,Steam Cloud,Family Sharing"
"Until Chloe, the New Wife, Falls","Sep 20, 2024",NA,10,"['Japanese', 'English', 'Simplified Chinese', 'Traditional Chinese']","[]","True","False","False",0,0,0,0,0,"StudioVR","HENTAI Plan,OTAKU Plan","Single-player,Steam Cloud,Family Sharing"
"My Little Sister Callie","Sep 16, 2024",NA,25,"['English']","[]","True","False","False",0,0,2,0,0,"Ryclaw Games","Ryclaw Games","Single-player,Steam Achievements,Family Sharing"
"Abnormal1999:The Compass and the Sand","Sep 15, 2024",NA,15,"['Simplified Chinese', 'English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Japanese', 'Traditional Chinese', 'Portuguese - Brazil', 'Portuguese - Portugal']","[]","True","False","False",0,0,111,0,0,"QZQ Studio","QZQ Studio","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing"
